127.0.0.1 - - [18/Nov/2019:17:00:45 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:39:46 +0900] "GET /recipe_project/recipe/view(owner).jsp HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:39:46 +0900] "GET /recipe_project/css/user.css;jsessionid=0135044DFEA2C95067E6E47CAE1558C2 HTTP/1.1" 404 1194
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:12 +0900] "GET /recipe_project/recipe/view.jsp HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:12 +0900] "GET /recipe_project/css/user.css HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:35 +0900] "GET /recipe_project/recipe/list.jsp HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:35 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:35 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:35 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 200 58078
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:38 +0900] "GET /recipe_project/main HTTP/1.1" 200 3298
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:38 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:38 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:38 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:38 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:42 +0900] "GET /recipe_project/recipe/list?categoryId=0 HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:42 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:42 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [18/Nov/2019:17:40:42 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 304 -
